"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 14:28:57 GMT 2023","Thu Dec 21 14:28:57 GMT 2023","35","","com.example.junit5.StepTest","","com.example.junit5.StepTest","test with annotation steps","test with annotation steps()",""
"passed","Thu Dec 21 14:28:57 GMT 2023","Thu Dec 21 14:28:57 GMT 2023","4","","com.example.junit5.StepTest","","com.example.junit5.StepTest","test with lambda steps","test with lambda steps()",""
